█,●,●,●,●,●,█,●,█,●,●,●,●,●,█,●,░,░,░,░,░,░,░,░,●,●,█,●,●,●,█,●,█,●,●,●,█,●,●,●,█
█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,░,░,░,░,░,░,░,░,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█
█,●,●,●,●,●,█,●,█,●,●,●,●,●,█,●,░,░,░,░,░,░,░,░,●,●,█,●,●,●,█,●,█,●,●,●,█,●,●,●,█
█,█,█,█,█,█,█,█,█,█,●,█,█,●,█,●,░,░,░,░,░,░,░,░,█,●,█,●,█,█,█,●,█,●,█,█,█,█,█,█,█
█,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,░,░,░,░,░,░,░,░,●,●,█,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,●,█,●,█,█,█,█,█,█,●,█,█,●,█,█,░,░,░,░,░,░,░,░,█,█,█,█,█,●,█,●,█,●,█,█,█,●,█,●,█
█,●,●,●,●,●,█,●,●,●,●,●,█,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█
█,█,█,█,█,█,█,█,█,●,●,●,█,█,█,●,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,●,█,█,█,█,█,█,█,█,█
█,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,█,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,█,█,●,█,█,█,●,█,█,●,█,█,█,█,●,█,█,█,●,█,█,█,●,█,█,█,●,█,●,█,●,█,●,█,█,█,█,█,●,█
█,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█
█,█,█,█,█,█,█,█,█,█,●,█,█,█,█,●,█,█,█,█,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,█,█,●,█,█,█
█,●,●,●,█,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,●,●,█
█,█,█,█,█,█,█,█,█,●,●,█,█,█,█,█,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,●,█,●,█,█,█,█,█,█,█
█,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,●,█,█,█,●,█,█,█,●,●,█,█,█,█,█,█,█,█,●,█,█,█,█,█,█,█,●,█,●,█,●,█,█,█,█,█,█,█,█,█
█,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,█,●,█,●,█,●,●,●,█,●,█,●,●,●,█
█,█,█,█,█,●,█,█,█,█,●,●,█,█,█,●,█,█,█,█,█,█,█,█,█,█,█,█,█,●,█,●,█,█,█,█,█,█,█,●,█
█,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,█,●,●,●,●,●,█,●,█
█,█,█,█,█,█,█,●,█,●,●,█,█,█,█,█,█,█,█,●,█,█,█,●,█,●,█,█,█,●,█,●,█,█,█,●,█,█,█,●,█
█,░,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,░,█
█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
